代號,名稱,買賣超張數,投本比
4968,立積,456,0.83
5443,均豪,1200,0.73
2351,順德,1245,0.68
4966,譜瑞-KY,346,0.44
3708,上緯投控,290,0.32
2027,大成鋼,2116,0.22
3653,健策,175,0.16
3645,達邁,127,0.1
1536,和大,232,0.09
1589,永冠-KY,109,0.09
2345,智邦,494,0.09
3630,新鉅科,130,0.08
3563,牧德,29,0.07
2889,國票金,1558,0.06
3034,聯詠,378,0.06
3324,雙鴻,51,0.06
5274,信驊,20,0.06
2015,豐興,278,0.05
2455,全新,88,0.05
9914,美利達,164,0.05
9938,百和,140,0.05
2204,中華,562,0.04
2231,為升,44,0.04
3533,嘉澤,37,0.04
5269,祥碩,24,0.04
6269,台郡,140,0.04
9941,裕融,113,0.04
6274,台燿,110,0.04
2347,聯強,430,0.03
2474,可成,256,0.03
3008,大立光,45,0.03
4190,佐登-KY,21,0.03
9958,世紀鋼,62,0.03
6147,頎邦,204,0.03
8462,柏文,15,0.03
3665,貿聯-KY,19,0.02
4943,康控-KY,21,0.02
3527,聚積,7,0.02
3529,力旺,15,0.02
5347,世界,340,0.02
1101,台泥,244,0.01
1402,遠東新,426,0.01
1704,榮化,58,0.01
2104,中橡,56,0.01
2338,光罩,35,0.01
2373,震旦行,35,0.01
2379,瑞昱,50,0.01
2439,美律,30,0.01
2441,超豐,58,0.01
2464,盟立,20,0.01
2912,統一超,100,0.01
3044,健鼎,50,0.01
3376,新日興,20,0.01
3406,玉晶光,14,0.01
6153,嘉聯益,25,0.01
6456,GIS-KY,30,0.01
8163,達方,40,0.01
1795,美時,20,0.01
6023,元大期,16,0.01
1301,台塑,-99,0
1326,台化,-240,0
1440,南紡,51,0
1525,江申,-1,0
1605,華新,147,0
2105,正新,-27,0
2207,和泰車,12,0
2303,聯電,-61,0
2308,台達電,6,0
2317,鴻海,-457,0
2324,仁寶,-3,0
2330,台積電,-1211,0
2356,英業達,-119,0
2382,廣達,-1,0
2383,台光電,10,0
2385,群光,8,0
2395,研華,10,0
2412,中華電,4,0
2448,晶電,-20,0
2454,聯發科,-8,0
2603,長榮,-30,0
2845,遠東銀,-144,0
2881,富邦金,-20,0
2882,國泰金,-270,0
2884,玉山金,500,0
2886,兆豐金,-385,0
2887,台新金,-80,0
2891,中信金,-316,0
3045,台灣大,-164,0
3090,日電貿,-7,0
3702,大聯大,-68,0
4137,麗豐-KY,3,0
4904,遠傳,-4,0
4938,和碩,-43,0
6024,群益期,7,0
6415,矽力-KY,4,0
6452,康友-KY,-1,0
6505,台塑化,-49,0
9904,寶成,-132,0
9917,中保,-20,0
8069,元太,45,0
1477,聚陽,-30,-0.01
1702,南僑,-26,-0.01
1773,勝一,-21,-0.01
2344,華邦電,-208,-0.01
2492,華新科,-37,-0.01
2838,聯邦銀,-144,-0.01
3016,嘉晶,-20,-0.01
3231,緯創,-327,-0.01
3515,華擎,-9,-0.01
9802,鈺齊-KY,-20,-0.01
3081,聯亞,-8,-0.01
4147,中裕,-17,-0.01
5289,宜鼎,-5,-0.01
1817,凱撒衛,-18,-0.02
2313,華通,-266,-0.02
2327,國巨,-54,-0.02
2357,華碩,-173,-0.02
2409,友達,-2151,-0.02
2456,奇力新,-49,-0.02
3036,文曄,-133,-0.02
3532,台勝科,-130,-0.02
5871,中租-KY,-313,-0.02
6257,矽格,-84,-0.02
3078,僑威,-40,-0.02
3105,穩懋,-71,-0.02
1476,儒鴻,-80,-0.03
1760,寶齡富錦,-20,-0.03
2228,劍麟,-20,-0.03
2337,旺宏,-500,-0.03
2352,佳世達,-647,-0.03
2883,開發金,-3823,-0.03
3481,群創,-2736,-0.03
3374,精材,-90,-0.03
6488,環球晶,-147,-0.03
1229,聯華,-422,-0.04
2014,中鴻,-637,-0.04
2349,錸德,-660,-0.04
2353,宏碁,-1115,-0.04
2360,致茂,-159,-0.04
2542,興富發,-524,-0.04
2731,雄獅,-30,-0.04
4763,材料-KY,-19,-0.04
6005,群益證,-855,-0.04
6414,樺漢,-28,-0.04
3541,西柏,-20,-0.04
3623,富晶通,-12,-0.04
5425,台半,-90,-0.04
1590,亞德客-KY,-96,-0.05
2030,彰源,-135,-0.05
4919,新唐,-100,-0.05
6213,聯茂,-153,-0.05
3587,閎康,-30,-0.05
3611,鼎翰,-21,-0.05
4528,江興鍛,-36,-0.05
5288,豐祥-KY,-39,-0.06
5434,崇越,-107,-0.06
3293,鈊象,-44,-0.06
8406,金可-KY,-51,-0.06
2049,上銀,-191,-0.07
5203,訊連,-60,-0.07
8926,台汽電,-396,-0.07
8436,大江,-58,-0.07
1312,國喬,-735,-0.08
1707,葡萄王,-106,-0.08
2233,宇隆,-40,-0.08
2408,南亞科,-2582,-0.09
3443,創意,-123,-0.09
3661,世芯-KY,-58,-0.1
5388,中磊,-241,-0.1
5263,智崴,-44,-0.1
8349,恒耀,-100,-0.1
2376,技嘉,-705,-0.11
5483,中美晶,-664,-0.11
3026,禾伸堂,-188,-0.12
8016,矽創,-173,-0.14
8091,翔名,-60,-0.14
1565,精華,-84,-0.17
8086,宏捷科,-287,-0.2
2377,微星,-2034,-0.24
6182,合晶,-1126,-0.24
2481,強茂,-980,-0.27
6238,勝麗,-152,-0.3
6449,鈺邦,-255,-0.34
4107,邦特,-250,-0.36
6568,宏觀,-96,-0.39
