代號,名稱,股數
1101,台泥,424.7
1102,亞泥,336.1
1103,嘉泥,77.48
1104,環泥,65.36
1108,幸福,40.47
1109,信大,36
1110,東泥,57.2
1201,味全,50.61
1203,味王,24
1210,大成,73.64
1213,大飲,5.662
1215,卜蜂,26.8
1216,統一,568.2
1217,愛之味,49.45
1218,泰山,35.33
1219,福壽,32.2
1220,台榮,17.71
1225,福懋油,21.87
1227,佳格,91.51
1229,聯華,95.65
1231,聯華食,15.99
1232,大統益,16
1233,天仁,9.059
1234,黑松,40.19
1235,興泰,6.066
1236,宏亞,10.83
1256,F-鮮活,3.077
1258,F-其祥,3.682
1259,安心,3.239
1262,F-綠悅,16.34
1264,德麥,3.37
1268,漢來美食,3.799
1301,台塑,636.6
1303,南亞,793.1
1304,台聚,116.5
1305,華夏,49.2
1307,三芳,39.78
1308,亞聚,51.81
1309,台達化,32.77
1310,台苯,52.79
1312,國喬,92.66
1313,聯成,120
1314,中石化,252.5
1315,達新,19.8
1316,上曜,11.82
1319,東陽,59.15
1321,大洋,22.72
1323,永裕,9.127
1324,地球,7.512
1325,恆大,8.528
1326,台化,586.1
1333,恩得利,7.452
1336,台翰,8.319
1337,F-再生,26.78
1338,F-廣華,8.384
1339,昭輝,7.414
1340,F-勝悅,12.64
1402,遠東新,535.3
1409,新纖,161.8
1410,南染,7.2
1413,宏洲,13.21
1414,東和,22
1416,廣豐,18.53
1417,嘉裕,37.99
1418,東華,5.683
1419,新紡,30
1423,利華,17.3
1432,大魯閣,16.79
1434,福懋,168.5
1435,中福,13.98
1436,華友聯,7.59
1437,勤益控,19.37
1438,裕豐,10.24
1439,中和,9.2
1440,南紡,165.7
1441,大東,7.211
1442,名軒,30.01
1443,立益,13.53
1444,力麗,95.73
1445,大宇,13.87
1446,宏和,13.77
1447,力鵬,91.45
1449,佳和,12
1451,年興,19.8
1452,宏益,13.26
1453,大將,8.967
1454,台富,14.03
1455,集盛,61.18
1456,怡華,9.372
1457,宜進,30.16
1459,聯發,35.86
1460,宏遠,49
1463,強盛,17.33
1464,得力,33.46
1465,偉全,10.36
1466,聚隆,11.12
1467,南緯,21.03
1468,昶和,16.04
1469,理隆,12.46
1470,大統染,8.577
1471,首利,15.04
1472,三洋紡,4.267
1473,台南,14.72
