證券代碼	簡稱	年月日	開盤價(元)	最高價(元)	最低價(元)	收盤價(元)	成交量(千股)	成交值(千元)
2801   	彰銀         	20150323	   14.45	   14.49	   14.41	   14.49	     2209	       40188
2809   	京城銀       	20150323	   27.64	   28.21	   27.55	   28.17	     2211	       70077
2812   	台中銀       	20150323	    8.45	    8.53	    8.41	    8.49	    10925	      116806
2816   	旺旺保       	20150323	   22.89	   23.27	   22.80	   22.94	      376	        9208
2820   	華票         	20150323	    9.54	    9.96	    9.54	    9.63	     6426	       75113
2823   	中壽         	20150323	   20.63	   20.70	   20.47	   20.63	     7455	      203231
2832   	台產         	20150323	   19.37	   19.59	   19.37	   19.50	      474	       10750
2833   	台壽         	20150323	   24.70	   26.10	   24.70	   25.20	    10792	      275579
2834   	臺企銀       	20150323	    8.08	    8.13	    8.04	    8.08	    16125	      155238
2836   	高雄銀       	20150323	    7.77	    7.79	    7.77	    7.78	      509	        4654
2838   	聯邦銀       	20150323	    8.81	    8.85	    8.77	    8.85	     1305	       13784
2845   	遠東銀       	20150323	    8.59	    8.79	    8.59	    8.75	    13243	      143823
2847   	大眾銀       	20150323	    9.68	    9.72	    9.63	    9.68	     1361	       14246
2849   	安泰銀       	20150323	   12.98	   13.37	   12.98	   13.16	      617	        9296
2850   	新產         	20150323	   20.85	   20.85	   20.64	   20.72	      958	       23577
2851   	中再保       	20150323	   14.43	   14.52	   14.39	   14.43	       66	        1120
2852   	第一保       	20150323	   14.42	   14.46	   14.32	   14.42	      489	        7571
2867   	三商壽       	20150323	   13.72	   13.84	   13.65	   13.72	     1008	       17971
2880   	華南金       	20150323	   13.50	   13.50	   13.39	   13.43	     4469	       79542
2881   	富邦金       	20150323	   49.65	   49.91	   49.31	   49.31	    15503	      887765
2882   	國泰金       	20150323	   43.55	   44.21	   43.16	   43.86	    32610	     1638103
2883   	開發金       	20150323	    9.30	    9.30	    9.21	    9.26	    23382	      257449
2884   	玉山金       	20150323	   13.81	   13.85	   13.70	   13.77	    48045	      924545
2885   	元大金       	20150323	   13.84	   13.88	   13.66	   13.66	    22481	      352811
2886   	兆豐金       	20150323	   21.35	   21.56	   21.35	   21.51	    12911	      333661
2887   	台新金       	20150323	   10.93	   10.97	   10.81	   10.93	    12526	      165885
2888   	新光金       	20150323	    8.30	    8.33	    8.26	    8.30	    15378	      137777
2889   	國票金       	20150323	    7.06	    7.12	    7.04	    7.06	     2412	       20763
2890   	永豐金       	20150323	    9.71	    9.86	    9.71	    9.83	    39771	      512149
2891   	中信金       	20150323	   15.69	   15.73	   15.61	   15.73	    16777	      349827
2892   	第一金       	20150323	   13.70	   13.73	   13.66	   13.70	     9192	      170052
5820   	日盛金       	20150323	    7.25	    7.32	    7.25	    7.27	      894	        7525
5863   	瑞興銀       	20150323	    9.54	    9.54	    9.27	    9.33	       56	         645
5876   	上海商銀     	20150323	   30.74	   30.86	   30.63	   30.85	      965	       36629
5878   	台名         	20150323	   32.65	   32.69	   32.59	   32.65	        9	         431
5880   	合庫金       	20150323	   12.47	   12.50	   12.43	   12.47	     5176	       82645
2801   	彰銀         	20150324	   14.45	   14.49	   14.33	   14.45	     5680	      103086
2809   	京城銀       	20150324	   28.17	   28.17	   27.82	   27.91	     1787	       56487
2812   	台中銀       	20150324	    8.49	    8.49	    8.41	    8.49	     3678	       39197
2816   	旺旺保       	20150324	   23.17	   23.17	   22.84	   22.89	      163	        3972
2820   	華票         	20150324	    9.67	    9.71	    9.63	    9.67	     1857	       21639
2823   	中壽         	20150324	   20.63	   20.70	   20.44	   20.70	     6057	      164974
2832   	台產         	20150324	   19.46	   19.54	   19.42	   19.50	      133	        3027
2833   	台壽         	20150324	   25.30	   25.40	   25.00	   25.40	     2494	       62848
2834   	臺企銀       	20150324	    8.08	    8.11	    8.06	    8.10	     7883	       75812
2836   	高雄銀       	20150324	    7.83	    7.83	    7.78	    7.79	      242	        2219
2838   	聯邦銀       	20150324	    8.85	    8.85	    8.81	    8.85	      699	        7394
2845   	遠東銀       	20150324	    8.75	    8.79	    8.67	    8.71	     4265	       46312
2847   	大眾銀       	20150324	    9.68	    9.77	    9.68	    9.72	     1211	       12694
2849   	安泰銀       	20150324	   13.20	   13.24	   13.02	   13.07	      299	        4496
2850   	新產         	20150324	   20.68	   20.68	   20.38	   20.43	      623	       15176
